event_id,start_date,end_date,duration_days,max_intensity,mean_intensity,cumulative_intensity,year
66,2016-11-03,2016-11-30,28,1.7410360166666692,1.2622617220238095,35.34332821666666,2016
67,2017-03-18,2017-03-27,10,1.195050049999999,1.093037615,10.93037615,2017
68,2017-04-17,2017-04-23,7,1.030121600000001,0.9071147833333336,6.349803483333336,2017
69,2017-06-24,2017-06-28,5,1.1024365666666665,0.9838611133333334,4.919305566666667,2017
70,2017-08-02,2017-08-10,9,1.285661233333336,1.055443574074073,9.498992166666657,2017
71,2017-08-19,2017-08-23,5,0.9193112666666678,0.8009398733333327,4.004699366666664,2017
72,2017-09-01,2017-09-17,17,1.565387533333336,1.2561528411764702,21.354598299999992,2017
73,2017-09-25,2017-09-29,5,1.1478460333333338,1.002911613333334,5.01455806666667,2017
74,2017-11-11,2017-12-15,35,1.639526850000001,1.1853668985714287,41.487841450000005,2017
75,2017-12-29,2018-02-12,46,1.5418808833333344,1.1877231818840581,54.63526636666668,2018
76,2018-07-21,2018-07-26,6,1.0583555666666662,0.9250518388888894,5.550311033333337,2018
77,2018-08-09,2018-08-26,18,1.2280842666666665,1.0623988407407408,19.123179133333334,2018
78,2018-11-16,2018-12-01,16,1.3029857333333315,1.0312107708333331,16.49937233333333,2018
79,2018-12-09,2018-12-26,18,1.413991900000001,1.1533025305555553,20.759445549999995,2018
80,2019-01-23,2019-02-08,17,1.1517838166666667,0.8897358127450985,15.125508816666674,2019
81,2019-04-02,2019-04-09,8,1.1632476999999994,0.9997277729166663,7.99782218333333,2019
82,2019-04-23,2019-04-28,6,0.997311916666666,0.8838098722222222,5.302859233333333,2019
83,2019-08-26,2019-09-27,33,1.5668929666666678,1.3392467262626262,44.19514196666667,2019
84,2020-05-09,2020-05-19,11,1.657730233333334,1.4831767727272729,16.314944500000003,2020
85,2020-05-25,2020-05-30,6,1.1902716333333334,1.1022032638888897,6.613219583333338,2020
86,2020-06-14,2020-07-07,24,1.3857869666666645,1.0628800125000002,25.509120300000006,2020
87,2020-08-13,2020-08-27,15,1.8815708666666673,1.4547533377777777,21.821300066666666,2020
88,2020-08-31,2020-10-28,59,2.0621715666666667,1.5518874598870054,91.56136013333332,2020
89,2020-10-30,2020-11-06,8,1.3689987333333349,1.2872513854166665,10.298011083333332,2020
90,2021-08-12,2021-08-22,11,1.073499166666668,0.9132584969696977,10.045843466666675,2021
91,2022-07-31,2022-08-15,16,1.975308833333333,1.46581344375,23.4530151,2022
92,2022-08-31,2022-10-25,56,2.0200650000000024,1.4469930809523812,81.03161253333334,2022
93,2023-08-15,2023-09-04,21,1.576249866666668,1.2505915873015876,26.262423333333338,2023
94,2023-09-08,2023-09-27,20,1.5336138000000012,1.1933219899999998,23.8664398,2023
95,2023-10-06,2023-10-25,20,1.5772103000000008,1.1572471050000004,23.14494210000001,2023
96,2023-11-01,2023-11-07,7,1.278739566666669,1.163817761904762,8.146724333333335,2023
97,2023-11-09,2024-01-12,65,1.5779373333333329,1.2724693764102564,82.71050946666666,2023
98,2024-01-17,2024-03-24,67,1.6351108166666677,1.1367924109452738,76.16509153333335,2024
99,2024-08-19,2024-08-28,10,1.2076257333333338,0.9665680900000005,9.665680900000005,2024
100,2024-08-31,2024-09-05,6,1.0436875666666694,0.8859175277777785,5.3155051666666715,2024
101,2024-09-08,2024-09-12,5,1.1796235000000017,1.052721313333334,5.26360656666667,2024
