date,sst,sst_anomaly,mhw_days,year,month,oni,enso_phase
1984-09-01,18.780252466666663,0.9201379555555557,7,1984,9,-0.24,Neutral
1984-10-01,17.76599587096774,0.36034957741935486,6,1984,10,-0.56,La Niña
1984-11-01,16.150537800000002,-0.14986313277777777,0,1984,11,-0.92,La Niña
1984-12-01,14.834429419354839,-0.12674201720430084,0,1984,12,-1.14,La Niña
1985-01-01,14.007715532258064,-0.1946722268817202,0,1985,1,-1.04,La Niña
1985-02-01,13.497500178571428,-0.513810306547619,0,1985,2,-0.85,La Niña
1985-03-01,13.382309741935485,-0.6681144494623656,0,1985,3,-0.77,La Niña
1985-04-01,13.697258666666666,-0.5557748199999999,0,1985,4,-0.78,La Niña
1985-05-01,14.274216951612903,-0.5319790591397848,0,1985,5,-0.78,La Niña
1985-06-01,15.703409599999999,0.1603946416666668,0,1985,6,-0.63,La Niña
1985-07-01,17.1525485483871,0.40439089354838725,0,1985,7,-0.49,Neutral
1985-08-01,17.944568161290324,0.31541041612903187,0,1985,8,-0.46,Neutral
1985-09-01,18.095256199999998,0.2351416888888887,0,1985,9,-0.4,Neutral
1985-10-01,17.560356387096775,0.15471009354838713,0,1985,10,-0.35,Neutral
1985-11-01,15.411898516666668,-0.8885024161111112,0,1985,11,-0.27,Neutral
1985-12-01,14.395579322580646,-0.5655921139784945,0,1985,12,-0.36,Neutral
1986-01-01,14.544379177419355,0.3419914182795703,0,1986,1,-0.49,Neutral
1986-02-01,14.568946446428571,0.5576359613095238,0,1986,2,-0.47,Neutral
1986-03-01,14.840628870967741,0.7902046795698925,3,1986,3,-0.31,Neutral
1986-04-01,14.600244333333334,0.34721084666666685,2,1986,4,-0.2,Neutral
1986-05-01,14.795393451612902,-0.010802559139785041,0,1986,5,-0.12,Neutral
1986-06-01,16.064846966666668,0.5218320083333335,0,1986,6,-0.04,Neutral
1986-07-01,16.952016225806453,0.20385857096774215,0,1986,7,0.22,Neutral
1986-08-01,17.375682322580648,-0.25347542258064554,0,1986,8,0.44,Neutral
1986-09-01,17.469248866666664,-0.39086564444444405,0,1986,9,0.71,El Niño
1986-10-01,17.113212806451614,-0.2924334870967738,0,1986,10,0.94,El Niño
1986-11-01,16.238572933333334,-0.06182799944444442,0,1986,11,1.14,El Niño
1986-12-01,15.448171354838712,0.48699991827957023,0,1986,12,1.22,El Niño
1987-01-01,14.439239564516129,0.23685180537634434,0,1987,1,1.23,El Niño
1987-02-01,14.154848214285716,0.14353772916666654,0,1987,2,1.19,El Niño
1987-03-01,14.096100903225807,0.04567671182795702,0,1987,3,1.06,El Niño
1987-04-01,14.3726891,0.11965561333333329,0,1987,4,0.95,El Niño
1987-05-01,14.994065903225806,0.18786989247311825,0,1987,5,0.97,El Niño
1987-06-01,15.300221033333335,-0.24279392499999983,0,1987,6,1.22,El Niño
1987-07-01,16.328367870967742,-0.41978978387096766,0,1987,7,1.51,El Niño
1987-08-01,17.62250170967742,-0.0066560354838709375,0,1987,8,1.7,El Niño
1987-09-01,17.850663666666666,-0.009450844444443971,0,1987,9,1.65,El Niño
