day_of_year,climatological_mean,threshold
251,17.875232999999998,18.7510765
252,17.8845745,18.8167755
253,17.868150233333335,18.6036642
254,17.853699233333334,18.599563200000002
255,17.853018466666665,18.5319906
256,17.871949500000003,18.6723059
257,17.891987533333335,18.7120991
258,17.871375633333333,18.510503699999997
259,17.83571606666667,18.511044000000002
260,17.786620066666668,18.6614167
261,17.826833033333333,18.9160498
262,17.8166932,18.8967593
263,17.782022333333334,18.8940281
264,17.7390821,18.785017
265,17.747231399999997,18.645101200000003
266,17.8186295,18.582643200000003
267,17.892154333333334,18.7520608
268,17.914303333333333,18.679161
269,17.9321107,18.662565400000002
270,17.923946033333333,18.854986
271,17.886899966666665,18.827884400000002
272,17.8450249,18.7031185
273,17.8234458,18.7675366
274,17.8198407,18.762786300000002
275,17.804394100000003,18.7117679
276,17.786957433333335,18.6696925
277,17.743960166666668,18.665337
278,17.688552899999998,18.6456911
279,17.6496969,18.6267982
280,17.609693233333335,18.5137367
281,17.605909233333332,18.5100612
282,17.63631793333333,18.461453
283,17.6227248,18.437712100000002
284,17.6005277,18.3267446
285,17.567774633333332,18.163245
286,17.525739466666668,18.0988583
287,17.4622056,18.1758341
288,17.418176833333334,18.1950168
289,17.412747633333332,18.1276297
290,17.408556866666668,17.942393300000003
291,17.38256573333333,17.8803481
292,17.3302613,17.9308852
293,17.2621582,18.0080981
294,17.2352787,18.1354911
295,17.239010800000003,18.1447303
296,17.218562833333333,18.096373600000003
297,17.20324456666667,18.028467799999998
298,17.164867933333333,18.0062567
299,17.126642633333333,18.030061600000003
300,17.077443966666667,18.0383882
301,17.0405328,18.1403152
302,17.002300233333333,18.1854564
303,16.973088866666664,18.1171082
304,16.955300400000002,18.005279100000003
305,16.916474400000002,17.8939147
306,16.8817528,17.8118956
307,16.85093871666667,17.7549089
308,16.780885033333334,17.7589102
309,16.724223266666666,17.743908400000002
310,16.676363433333332,17.828370200000002
311,16.616855016666666,17.817184700000002
312,16.583636783333336,17.7625294
313,16.5536427,17.4914274
314,16.51839401666667,17.4532013
315,16.484789983333332,17.3641367
316,16.460760333333333,17.3209623
317,16.4031409,17.2651121
318,16.3802886,17.2817503
319,16.374600283333333,17.3206153
320,16.3494118,17.1861618
321,16.31305695,16.9209606
322,16.272950233333333,17.0134018
323,16.21256305,17.0158774
324,16.164983866666667,17.0213857
325,16.099550233333336,17.029389
326,16.045570416666667,17.0521985
327,16.007035266666666,16.9025746
328,15.966396933333334,16.8449591
329,15.899143149999999,16.6702343
330,15.845053366666667,16.4465089
331,15.782795183333333,16.4036985
332,15.673504266666667,16.4117235
333,15.620306533333332,16.348067600000004
334,15.552960466666667,16.400415300000002
335,15.50392795,16.372609
336,15.471430333333332,16.3471094
337,15.429756133333335,16.1625024
338,15.383981966666665,16.1367461
339,15.3669101,16.2037817
340,15.329700283333333,16.126008000000002
341,15.291908083333334,16.1501106
342,15.269564616666667,16.1329283
343,15.244993099999999,16.1041742
344,15.195146233333332,16.0271868
345,15.151923766666666,15.961124
346,15.10354865,15.911013800000001
347,15.0350862,15.9397943
348,15.00385755,15.9551671
349,14.967717766666668,15.8573865
350,14.962484533333333,16.0045917
351,14.94865665,15.9085525
352,14.921553066666666,15.6965006
353,14.885600516666667,15.7100136
354,14.8307224,15.6906898
355,14.768771216666666,15.5842895
356,14.7106741,15.5351806
357,14.690754633333334,15.507991800000001
358,14.653955833333333,15.389923900000001
359,14.61246775,15.337312200000001
360,14.601605483333334,15.5217452
361,14.560192666666667,15.474354700000001
362,14.5171002,15.4204648
363,14.486855416666666,15.30546325
364,14.4603253,15.3108297
365,14.435142033333333,15.234855000000001
